OriginalColumn,StandardColumn
Seller GSTIN,Seller GSTIN
Invoice Number,Invoice Number
Invoice Date,Invoice Date
Invoice Type,Invoice Type
Transaction Type,Transaction Type
Order ID,Order ID
Shipment ID,Shipment ID
Shipment Date,Shipment Date
Order Date,Order Date
Shipment Item ID,Shipment Item ID
Quantity,Quantity
Item Description,Item Description
ASIN,ASIN
SKU,SKU
Item Serial No.,Item Serial No.
HSN / SAC,HSN / SAC
Product Tax Code,Product Tax Code
Bill From City,Bill From City
Bill From State,Bill From State
Bill From Pincode,Bill From Pincode
Bill To Name,Bill To Name
Bill To Address Line1,Bill To Address Line1
Bill To Address Line2,Bill To Address Line2
Bill To City,Bill To City
Bill To State,Bill To State
Bill To Pincode,Bill To Pincode
Bill To Country,Bill To Country
Customer GSTIN,Customer GSTIN
Place of Supply,Place of Supply
Shipping Address Name,Shipping Address Name
Shipping Address Line1,Shipping Address Line1
Shipping Address Line2,Shipping Address Line2
Shipping Address City,Shipping Address City
Shipping Address State,Shipping Address State
Shipping Address Pincode,Shipping Address Pincode
Shipping Address Country,Shipping Address Country
Ship From State,Ship From State
Ship From Pincode,Ship From Pincode
Item Price,Item Price
Item Discount,Item Discount
Item Promotional Discount,Item Promotional Discount
Item Shipping Discount,Item Shipping Discount
Shipping Charge,Shipping Charge
Shipping Discount,Shipping Discount
Gift Wrap Charge,Gift Wrap Charge
Gift Wrap Taxable Value,Gift Wrap Taxable Value
COD Fee,COD Fee
COD Fee Taxable Value,COD Fee Taxable Value
Packing Fee,Packing Fee
Packing Fee Taxable Value,Packing Fee Taxable Value
Platform Fee,Platform Fee
Platform Fee Taxable Value,Platform Fee Taxable Value
Total Item Taxable Value,Total Item Taxable Value
CGST %,CGST %
CGST Amount,CGST Amount
SGST %,SGST %
SGST Amount,SGST Amount
IGST %,IGST %
IGST Amount,IGST Amount
UTGST %,UTGST %
UTGST Amount,UTGST Amount
Cess %,Cess %
Cess Amount,Cess Amount
Total Tax Amount,Total Tax Amount
Total Invoice Value,Total Invoice Value
Invoice Currency,Invoice Currency
Payment Method,Payment Method
Reverse Charge Applicable (Y/N),Reverse Charge Applicable (Y/N)
TCS Type,TCS Type
TCS %,TCS %
TCS Amount,TCS Amount
TDS %,TDS %
TDS Amount,TDS Amount
Marketplace Fee Type,Marketplace Fee Type
Marketplace Fee %,Marketplace Fee %
Marketplace Fee Amount,Marketplace Fee Amount
Marketplace Fee GST %,Marketplace Fee GST %
Marketplace Fee GST Amount,Marketplace Fee GST Amount
Return Status,Return Status
Return Date,Return Date
Return Reason,Return Reason
Replacement Order ID,Replacement Order ID
Linked Original Order ID,Linked Original Order ID
Credit Note Number,Credit Note Number
Credit Note Date,Credit Note Date
PAN of Seller,PAN of Seller
TAN of Seller,TAN of Seller
ARN No.,ARN No.
Invoice Upload Status,Invoice Upload Status
"Document Type (Invoice / Credit Note)","Document Type (Invoice / Credit Note)"
"Supply Type (Interstate / Intrastate)","Supply Type (Interstate / Intrastate)"
"Tax Category (Nil, Exempted, Taxable)","Tax Category (Nil, Exempted, Taxable)"
GST Filing Month,GST Filing Month
GST Filing Year,GST Filing Year
Upload Date,Upload Date
Report Run Date,Report Run Date
Report Period From,Report Period From
Report Period To,Report Period To
